slug,title,wordCount,readingTimeMinutes,effort
1-6-datacenter-topology,1.6 Datacenter Topology,191,1,Light
1-identify-the-problem,1 - Identify the problem,269,1.3,Light
2-establish-a-theory-of-a-probable-cause-and-question-the-obvious,2. Establish a theory of a probable cause and question the obvious.,786,3.9,Medium
3-test-the-theory-to-determine-the-cause,3 - Test the theory to determine the cause,207,1,Light
4-establish-a-plan-of-action-to-resolve-the-problem-an-identify-the-potential-ef,4 Establish a plan of action to resolve the problem an identify the potential effects.,213,1.1,Light
5-implement-the-solution-or-escelate-it-as-nessecary,5 - Implement the solution or escelate it as nessecary,169,0.8,Light
6-verify-full-system-funcainality-and-if-applicablie-implement-preventive-measur,"6 - Verify full system funcainality and if applicablie, implement preventive measures",178,0.9,Light
7-document-findings-actions-outcomes-and-lessons-learned,"7 document findings, actions, outcomes and lessons learned.",17,0.1,Outline
access-control-list-acl,Access Control List (ACL),441,2.2,Medium
address-resolution-protocol-attacks,Address Resolution Protocol Attacks,407,2,Medium
address-translation,Address Translation,389,1.9,Light
arp,arp,55,0.3,Outline
asset-management,Asset. Management,193,1,Light
assigning-ip-addresses,Assigning IP Addresses,497,2.5,Medium
audits-and-compliance,Audits and Compliance,387,1.9,Light
authentication-methods,Authentication Methods,568,2.8,Medium
automating-netowrk-inventories,automating netowrk inventories,286,1.4,Light
basic-network-device-commands,basic network device commands,36,0.2,Outline
benefits-of-automation-and-orchestration,Benefits of Automation and Orchestration,200,1,Light
bring-your-own-device-byod,Bring your own device - BYOD -,75,0.4,Outline
building-a-copper-cable,Building a copper Cable,86,0.4,Outline
cable-distribution-systems,Cable Distribution Systems,779,3.9,Medium
cable-docsis-connections,Cable (DOCSIS) Connections,89,0.4,Outline
captive-portal,captive portal,41,0.2,Outline
captive-portal-issues,captive portal issues,462,2.3,Medium
cellular-connections,Cellular Connections,150,0.8,Light
change-management,change management,227,1.1,Light
client-disassociation-issues,client disassociation issues,94,0.5,Outline
cloud-and-the-datcenter,Cloud and The datacenter,138,0.7,Outline
cloud-computing,Cloud Computing,485,2.4,Medium
cloud-connectivity,Cloud connectivity,77,0.4,Outline
cloud-deployment-models,Cloud Deployment Models,297,1.5,Light
cloud-security,Cloud Security,313,1.6,Light
cloud-service-models,Cloud Service Models,620,3.1,Medium
collionos-and-broadcast-storms,collionos and broadcast storms.,27,0.1,Outline
common-agreements,common agreements,59,0.3,Outline
common-documentation,Common Documentation,121,0.6,Outline
computer-mathmatics,computer mathmatics,22,0.1,Outline
configuration-management,Configuration management,39,0.2,Outline
content-filtering,Content Filtering,433,2.2,Medium
copper-cable-issues,Copper Cable Issues,148,0.7,Outline
copper-media,Copper Media,716,3.6,Medium
copper-network-connectors,Copper Network Connectors,398,2,Light
designing-redundant-netowrks,Designing Redundant Netowrks,24,0.1,Outline
device-hardening,Device Hardening.,219,1.1,Light
dhcp-dynamic-host-configuration-protocol,DHCP (Dynamic Host Configuration Protocol),467,2.3,Medium
dhcp-issues,DHCP issues,53,0.3,Outline
digital-certificate,Digital Certificate,440,2.2,Medium
disaster-recoery-metrics,Disaster Recoery Metrics,364,1.8,Light
disaster-recovery,Disaster Recovery,37,0.2,Outline
discovery-protocols,Discovery protocols,87,0.4,Outline
distribution-systems,Distribution Systems,69,0.3,Outline
dns-domain-name-system,DNS - DOMAIN NAME SYSTEM,577,2.9,Medium
documentation-and-process,Documentation and Process,403,2,Medium
domain-name-system-attacks,Domain Name System Attacks,382,1.9,Light
dos-and-ddos,DOS and DDoS,407,2,Medium
dsl-digital-subscriber-line,DSL (Digital Subscriber Line),105,0.5,Outline
duplicate-ip-addresses,Duplicate IP Addresses,62,0.3,Outline
email-ports-and-protocols,Email ports and Protocols.,345,1.7,Light
encapsulation,Encapsulation,328,1.6,Light
encryption,Encryption,129,0.6,Outline
ethernet-fundamentals,Ethernet Fundamentals,610,3,Medium
ethernet-issues,Ethernet Issues,317,1.6,Light
ethernet-switching,Ethernet Switching,95,0.5,Outline
fiber-cable-issues,Fiber Cable Issues,191,1,Light
fiber-optic-connections,Fiber Optic Connections,40,0.2,Outline
fiber-optic-connectors,Fiber optic connectors,312,1.6,Light
fiber-optic-media,Fiber Optic Media,365,1.8,Light
file-transer-protocol-ports,File Transer Protocol & ports,449,2.2,Medium
finding-center,Finding Center,94,0.5,Outline
fire-suppression-systems,Fire suppression systems,25,0.1,Outline
firewall,firewall,111,0.6,Outline
firewalls,Firewalls,382,1.9,Light
gre-generic-routing-encapsulation,GRE Generic routing encapsulation,242,1.2,Light
hardware-tools,Hardware Tools,419,2.1,Medium
hello-world,"Hello, World!",4,0,Outline
high-availibity-approaches,High Availibity Approaches,95,0.5,Outline
honeypots,Honeypots,117,0.6,Outline
hvac-heating-ventilation-and-air-conditioning-hvac-system,"HVAC( Heating, Ventilation, and Air Conditioning (HVAC) System",121,0.6,Outline
iac-infrastructure-as-code,IaC - infrastructure as code,135,0.7,Outline
iam,IAM,372,1.9,Light
incorrect-wireless-configurations,incorrect wireless configurations,122,0.6,Outline
interface-issues,interface issues,119,0.6,Outline
interface-port-issues,Interface Port Issues,491,2.5,Medium
interface-statistice,interface statistice,480,2.4,Medium
interference-issues,interference issues,263,1.3,Light
intergrations-and-api,intergrations and api,324,1.6,Light
internet-control-message-protocol-icmp,Internet Control Message Protocol ICMP,402,2,Medium
intrusision-detection-systems-ids-ips,Intrusision Detection Systems (IDS/IPS),384,1.9,Light
iot,IoT,463,2.3,Medium
ip-address-management-ipam,IP Address Management (IPAM),247,1.2,Light
ip-addressing,IP Addressing,111,0.6,Outline
ipconfig-ifconfig-and-ip,"ipconfig, ifconfig, and ip",428,2.1,Medium
ipsec,IPSEC,198,1,Light
ipv4,IPV4,706,3.5,Medium
ipv4-address-types,IPV4 Address types,447,2.2,Medium
ipv4-to-ipv6,IPV4 to IPV6.,121,0.6,Outline
ipv6-addresses,IPV6 Addresses,153,0.8,Light
jumpbox,Jumpbox,269,1.3,Light
layer-1-physical,Layer 1 - (Physical),685,3.4,Medium
layer-2-data-link,Layer 2 (Data Link),455,2.3,Medium
layer-3-network,Layer 3 (Network),598,3,Medium
layer-4-transport,Layer 4 (Transport),708,3.5,Medium
layer-5-session,Layer 5 (Session),362,1.8,Light
